"id"	"name"	"long"	"lat"	"ville"	"feature"	"value"
"640569423"	"L'Apostrophe"	2.1949244	48.8910387	"Paris"	"amenity"	"bar"
"640610787"	"Au Petit bar"	2.1972307	48.8898846	"Paris"	"amenity"	"bar"
"640616933"	"Le Petit Clement"	2.1977443	48.889645	"Paris"	"amenity"	"bar"
"640616938"	"Bar Breton"	2.1977544	48.8898553	"Paris"	"amenity"	"bar"
"640635591"	"Royal de la Boule"	2.2007793	48.8867262	"Paris"	"amenity"	"bar"
"640635594"	"Tabac de la Boule"	2.2011169	48.8868819	"Paris"	"amenity"	"bar"
"640691402"	"L'Acacia"	2.2087546	48.8866553	"Paris"	"amenity"	"bar"
"648233605"	"Le Zola"	2.2098725	48.8944133	"Paris"	"amenity"	"bar"
"648581485"	"Le Balto"	2.1998133	48.8916569	"Paris"	"amenity"	"bar"
"648616283"	"Aux Trois Maronniers"	2.204374	48.8929806	"Paris"	"amenity"	"bar"
"667305411"	"Le Rota"	2.3895178	48.8503838	"Paris"	"amenity"	"bar"
"676028807"	"Le Lescot"	2.3889995	48.8753301	"Paris"	"amenity"	"bar"
"677731252"	NA	2.3454455	48.8608172	"Paris"	"amenity"	"bar"
"677967483"	"Au Diable des Lombards"	2.3475059	48.859895	"Paris"	"amenity"	"bar"
"678029796"	"Le Bar des Halles"	2.3442771	48.8611078	"Paris"	"amenity"	"bar"
"679398844"	NA	2.3340035	48.8637421	"Paris"	"amenity"	"bar"
"679414266"	"L'Oratoire"	2.3406029	48.8617693	"Paris"	"amenity"	"bar"
"679466975"	NA	2.3339855	48.8638661	"Paris"	"amenity"	"bar"
"681315248"	"Le Ballroom du Beefclub"	2.3435073	48.8639692	"Paris"	"amenity"	"bar"
"681479170"	"Le Nustrale"	2.3408552	48.8646538	"Paris"	"amenity"	"bar"
"683283114"	"Le Rubis"	2.3313684	48.8662382	"Paris"	"amenity"	"bar"
"685604405"	"Le Gaillon"	2.3345642	48.868971	"Paris"	"amenity"	"bar"
"687029204"	"Chez Xala"	2.3359056	48.870302	"Paris"	"amenity"	"bar"
"687096685"	"Alex's Bar"	2.3373664	48.8704581	"Paris"	"amenity"	"bar"
"687218426"	"Le metropolitain"	2.3841166	48.8115398	"Paris"	"amenity"	"bar"
"687750878"	"A. Noste"	2.3392086	48.8691957	"Paris"	"amenity"	"bar"
"687751001"	"Le Louis d'Or"	2.339716	48.8693708	"Paris"	"amenity"	"bar"
"687892841"	"Chez Carmen"	2.341399	48.8714668	"Paris"	"amenity"	"bar"
"687929505"	NA	2.3413334	48.8700715	"Paris"	"amenity"	"bar"
"689456582"	"Le Macareux"	2.3442391	48.8688392	"Paris"	"amenity"	"bar"
"689543621"	"The Lions"	2.3438772	48.8678019	"Paris"	"amenity"	"bar"
"690289617"	"Le Longchamp"	2.3762969	48.6732024	"Paris"	"amenity"	"bar"
